hand,Combos,Percentage,EP,MP,CO,BU,Sklanski-Karlson
AA,6,0.45%,1.00,1.00,1.00,1.00,0.5
KK,6,0.45%,1.00,1.00,1.00,1.00,0.9
AKs,4,0.30%,1.00,1.00,1.00,1.00,1.2
QQ,6,0.45%,1.00,1.00,1.00,1.00,1.7
AK,12,0.90%,1.00,1.00,1.00,1.00,2.6
JJ,6,0.45%,1.00,1.00,1.00,1.00,3
AQs,4,0.30%,1.00,1.00,1.00,1.00,3.3
TT,6,0.45%,1.00,1.00,1.00,1.00,3.8
AQ,12,0.90%,0.00,1.00,1.00,1.00,4.7
99,6,0.45%,1.00,1.00,1.00,1.00,5.1
AJs,4,0.30%,0.00,1.00,1.00,1.00,5.4
88,6,0.45%,1.00,1.00,1.00,1.00,5.9
ATs,4,0.30%,0.00,1.00,1.00,1.00,6.2
AJ,12,0.90%,0.00,1.00,1.00,1.00,7.1
77,6,0.45%,0.00,1.00,1.00,1.00,7.5
66,6,0.45%,0.00,1.00,1.00,1.00,8
AT,12,0.90%,0.00,0.00,1.00,1.00,8.9
A9s,4,0.30%,0.00,0.00,1.00,1.00,9.2
55,6,0.45%,0.00,1.00,1.00,1.00,9.7
A8s,4,0.30%,0.00,0.00,1.00,1.00,10
KQs,4,0.30%,0.00,1.00,1.00,1.00,10.3
44,6,0.45%,0.00,0.00,1.00,1.00,10.7
A9,12,0.90%,0.00,0.00,1.00,1.00,11.6
A7s,4,0.30%,0.00,0.00,1.00,1.00,11.9
KJs,4,0.30%,0.00,1.00,1.00,1.00,12.2
A5s,4,0.30%,0.00,0.00,0.00,1.00,12.5
A8,12,0.90%,0.00,0.00,1.00,1.00,13.4
A6s,4,0.30%,0.00,0.00,1.00,1.00,13.7
A4s,4,0.30%,0.00,0.00,0.00,1.00,14
33,6,0.45%,0.00,0.00,1.00,1.00,14.5
KTs,4,0.30%,0.00,0.00,1.00,1.00,14.8
A7,12,0.90%,0.00,0.00,0.00,1.00,15.7
A3s,4,0.30%,0.00,0.00,0.00,1.00,16
KQ,12,0.90%,0.00,1.00,1.00,1.00,16.9
A2s,4,0.30%,0.00,0.00,0.00,1.00,17.2
A5,12,0.90%,0.00,0.00,0.00,1.00,18.1
A6,12,0.90%,0.00,0.00,0.00,1.00,19
A4,12,0.90%,0.00,0.00,0.00,1.00,19.9
KJ,12,0.90%,0.00,0.00,1.00,1.00,20.8
QJs,4,0.30%,0.00,1.00,1.00,1.00,21.1
A3,12,0.90%,0.00,0.00,0.00,1.00,22
22,6,0.45%,0.00,0.00,1.00,1.00,22.5
K9s,4,0.30%,0.00,0.00,1.00,1.00,22.8
A2,12,0.90%,0.00,0.00,0.00,1.00,23.7
KT,12,0.90%,0.00,0.00,1.00,1.00,24.6
QTs,4,0.30%,0.00,0.00,1.00,1.00,24.9
K8s,4,0.30%,0.00,0.00,1.00,1.00,25.2
K7s,4,0.30%,0.00,0.00,0.00,1.00,25.5
JTs,4,0.30%,0.00,1.00,1.00,1.00,25.8
K9,12,0.90%,0.00,0.00,1.00,1.00,26.7
K6s,4,0.30%,0.00,0.00,0.00,1.00,27
QJ,12,0.90%,0.00,0.00,1.00,1.00,27.9
Q9s,4,0.30%,0.00,0.00,1.00,1.00,28.2
K5s,4,0.30%,0.00,0.00,0.00,1.00,28.5
K8,12,0.90%,0.00,0.00,0.00,1.00,29.4
K4s,4,0.30%,0.00,0.00,0.00,1.00,29.7
QT,12,0.90%,0.00,0.00,1.00,1.00,30.6
K7,12,0.90%,0.00,0.00,0.00,1.00,31.5
K3s,4,0.30%,0.00,0.00,0.00,1.00,31.8
K2s,4,0.30%,0.00,0.00,0.00,1.00,32.1
Q8s,4,0.30%,0.00,0.00,1.00,1.00,32.4
K6,12,0.90%,0.00,0.00,0.00,1.00,33.3
J9s,4,0.30%,0.00,0.00,1.00,1.00,33.6
K5,12,0.90%,0.00,0.00,0.00,1.00,34.5
Q9,12,0.90%,0.00,0.00,0.00,1.00,35.4
JT,12,0.90%,0.00,0.00,1.00,1.00,36.3
K4,12,0.90%,0.00,0.00,0.00,1.00,37.3
Q7s,4,0.30%,0.00,0.00,0.00,1.00,37.6
T9s,4,0.30%,0.00,0.00,0.00,1.00,37.9
Q6s,4,0.30%,0.00,0.00,0.00,1.00,38.2
K3,12,0.90%,0.00,0.00,0.00,1.00,39.1
J8s,4,0.30%,0.00,0.00,0.00,1.00,39.4
Q5s,4,0.30%,0.00,0.00,0.00,1.00,39.7
K2,12,0.90%,0.00,0.00,0.00,1.00,40.6
Q8,12,0.90%,0.00,0.00,0.00,1.00,41.5
Q4s,4,0.30%,0.00,0.00,0.00,1.00,41.8
J9,12,0.90%,0.00,0.00,0.00,1.00,42.7
Q3s,4,0.30%,0.00,0.00,0.00,1.00,43
T8s,4,0.30%,0.00,0.00,0.00,1.00,43.3
J7s,4,0.30%,0.00,0.00,0.00,1.00,43.6
Q7,12,0.90%,0.00,0.00,0.00,1.00,44.5
